,comment,afinn_score,afinn_triggers,afinn_trigger_words_scores
342,"This app is honestly the worst you can get. Tik tok YOU NEED A FRICKING MODERATOR because ppls videos get taken down for the stupidest and most ridiculous reasons. And your app is so biased to apple devices I shouldn't have to bye an Iphone to work the greem screen effect. DON'T get this app. Getting stalked on facebook is better than this unfair, bias and hypocritical app. Anyone can post a video and it will get taken down for no valid reason Dont waste your time and hard work on this trash.",-14.0,"['worst', 'ridiculous', 'biased', 'better', 'unfair', 'bias', 'hypocritical', 'no', 'waste', 'hard']","[-3, -3, -2, 2, -2, -1, -2, -1, -1, -1]"
1353,Poor... Talented videos do not get views. But worst and poor videos are getting too many views and likes.. One of the fraudulent APP i have seen. This App is really very much not deserved for the one star. There is no way to unselect that one star.. Really zero stars should be to this app. Such an worst..,-13.0,"['poor', 'worst', 'poor', 'likes', 'fraudulent', 'no', 'worst']","[-2, -3, -2, 2, -4, -1, -3]"
1158,"Too bad app, difficult to use, sinup problem. Video loading problem. Frequently use problem. I downloaded the app very excitedly but got hurted, totly waste of time.",-11.0,"['bad', 'difficult', 'problem', 'problem', 'problem', 'waste']","[-3, -1, -2, -2, -2, -1]"
369,"It's a great app for creating, but I have one request: The app makes me feel horrible when my account suddenly gets 0 views per video. All my videos before did decent, now my account is dead before it even starts. Also, the stitching feature is dumb as hell.",-10.0,"['great', 'horrible', 'dead', 'dumb', 'hell']","[3, -3, -3, -3, -4]"
426,Tiktok app is really very bad app.It does not pay any attention to its users.I have reported many times but there was no reply on that.So I believe the tiktok app is very nonsense.We should not waste time running a tiktok. It does not reply to the report of users.Your rule is very wrong. Just got more than three thousand followers but I have not started live yet. @USERNAMEREMOVED,-10.0,"['bad', 'pay', 'no', 'nonsense', 'waste', 'wrong']","[-3, -1, -1, -2, -1, -2]"
103,"Its fine, lots of dumb videos and people lack reading comprehension & plenty of bullying but that's any social media. My problem is trying to delete my account and every time I select it within manage account I get an error message saying ""verification failed"" and then a blank white screen... I just want to delete it ðŸ™„",-10.0,"['fine', 'dumb', 'lack', 'bullying', 'problem', 'error', 'failed', 'want']","[2, -3, -2, -2, -2, -2, -2, 1]"
1244,Very very toxic app do not download it unless you want to get your heart broken from getting banned for literally doing nothing TikTok is a horrible app to download never trust this app for your life you may see the other reviews and see that it's a good app for other people but it's an absolutely toxic and horrible app believe me for my personal experiences,-10.0,"['toxic', 'want', 'broken', 'banned', 'horrible', 'trust', 'good', 'toxic', 'horrible']","[-3, 1, -1, -2, -3, 1, 3, -3, -3]"
1138,I seriously hate this app now adays. And it every time delete our videos ðŸ˜¡ it just the toy with which child's plays for two days and it becomes boring ðŸ˜´ is the worst ðŸ˜« experience in whole world I suggest not to download this app it's the waste ðŸ˜¡ of our time and memory I havep deleted my accounts before it was good but nowadays it's the worst ðŸ˜« ðŸ˜­,-10.0,"['hate', 'boring', 'worst', 'waste', 'good', 'worst']","[-3, -3, -3, -1, 3, -3]"
690,"I only have two issues with this app. #1. Is the the kids on this app choking each other and humping anything they can, and #2. Peoples lives being shut down or banned for no reason, just because someone doesnt like their content and reports them. There should be a way to save your account from these people, They work way to hard to go live just to have a butt hurt idiot destroy that.",-10.0,"['choking', 'banned', 'no', 'like', 'save', 'hard', 'hurt', 'idiot', 'destroy']","[-2, -2, -1, 2, 2, -1, -2, -3, -3]"
587,"Right that's it, I can't bite my tongue anymore.. You're ads are the fuquing worst! I actually hate you. I had to download the app just to vent that. I might have to get YouTube premium just so I don't have see your moronic ads every 5 minutes. Gaarrrr u suck!",-9.0,"['worst', 'hate', 'suck']","[-3, -3, -3]"
